,sepal_length,sepal_width,petal_length,petal_width,target,tsne_1,tsne_2
123,6.3,2.7,4.9,1.8,virginica,12.804411,-1.9489574
124,6.7,3.3,5.7,2.1,virginica,9.250663,-4.995621
125,7.2,3.2,6.0,1.8,virginica,7.719355,-4.821328
126,6.2,2.8,4.8,1.8,virginica,13.222355,-1.6965472
127,6.1,3.0,4.9,1.8,virginica,13.258233,-1.5346628
128,6.4,2.8,5.6,2.1,virginica,9.856265,-3.7050512
129,7.2,3.0,5.8,1.6,virginica,7.738654,-4.378996
130,7.4,2.8,6.1,1.9,virginica,7.2759314,-4.8165593
131,7.9,3.8,6.4,2.0,virginica,6.9938364,-6.153723
132,6.4,2.8,5.6,2.2,virginica,9.784793,-3.8721917
133,6.3,2.8,5.1,1.5,virginica,12.773688,-2.2596607
134,6.1,2.6,5.6,1.4,virginica,10.885548,-1.9516551
135,7.7,3.0,6.1,2.3,virginica,7.174911,-5.4423275
136,6.3,3.4,5.6,2.4,virginica,10.126423,-5.7843766
137,6.4,3.1,5.5,1.8,virginica,10.470154,-3.5768213
138,6.0,3.0,4.8,1.8,virginica,13.524145,-1.3307652
139,6.9,3.1,5.4,2.1,virginica,9.862934,-4.751213
140,6.7,3.1,5.6,2.4,virginica,9.588579,-5.1534543
141,6.9,3.1,5.1,2.3,virginica,10.770159,-4.9207163
142,5.8,2.7,5.1,1.9,virginica,12.140724,-0.6847213
143,6.8,3.2,5.9,2.3,virginica,8.813293,-5.3243937
144,6.7,3.3,5.7,2.5,virginica,9.362916,-5.62064
145,6.7,3.0,5.2,2.3,virginica,10.596497,-4.7164936
146,6.3,2.5,5.0,1.9,virginica,12.2036085,-1.901324
147,6.5,3.0,5.2,2.0,virginica,11.094507,-3.9606438
148,6.2,3.4,5.4,2.3,virginica,10.590268,-5.658581
149,5.9,3.0,5.1,1.8,virginica,12.587088,-1.0792402
